Group,Date,Class,Type,Number,Link
-KAM,06-25-23,-K,AM,-K_6.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-25-23/-K/AM/-K_6.jpg
-KAM,06-24-23,-K,AM,-K_3.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-24-23/-K/AM/-K_3.jpg
-KAM,06-22-23,-K,AM,-K_20.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-22-23/-K/AM/-K_20.jpg
-KAM,06-23-23,-K,AM,-K_17.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-23-23/-K/AM/-K_17.jpg
-KAM,06-23-23,-K,AM,-K_12.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-23-23/-K/AM/-K_12.jpg
-KAM,06-26-23,-K,AM,-K_43.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-26-23/-K/AM/-K_43.jpg
-KAM,06-19-23,-K,AM,-K_2.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-19-23/-K/AM/-K_2.jpg
-KAM,06-26-23,-K,AM,-K_23.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-26-23/-K/AM/-K_23.jpg
-KAM,06-22-23,-K,AM,-K_8.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-22-23/-K/AM/-K_8.jpg
-KAM,06-26-23,-K,AM,-K_47.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-26-23/-K/AM/-K_47.jpg
-KAM,06-22-23,-K,AM,-K_1.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-22-23/-K/AM/-K_1.jpg
-KAM,06-25-23,-K,AM,-K_23.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-25-23/-K/AM/-K_23.jpg
-KAM,06-24-23,-K,AM,-K_4.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-24-23/-K/AM/-K_4.jpg
-KAM,06-22-23,-K,AM,-K_18.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-22-23/-K/AM/-K_18.jpg
-KAM,06-26-23,-K,AM,-K_13.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-26-23/-K/AM/-K_13.jpg
-KAM,06-19-23,-K,AM,-K_9.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-19-23/-K/AM/-K_9.jpg
