Group, Date, Class, Type, Number, Link
-KAM, 06-15-23, -K, AM, -K_2.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/AM/-K_2.jpg
-KAM, 06-15-23, -K, AM, -K_3.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/AM/-K_3.jpg
-KAM, 06-15-23, -K, AM, -K_4.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/AM/-K_4.jpg
-KAM, 06-15-23, -K, AM, -K_5.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/AM/-K_5.jpg
-KAM, 06-15-23, -K, AM, -K_6.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/AM/-K_6.jpg
-KAM, 06-15-23, -K, AM, -K_7.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/AM/-K_7.jpg
-KAM, 06-15-23, -K, AM, -K_8.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/AM/-K_8.jpg
-KAMF, 06-15-23, -K, AMF, -K_1.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/AMF/-K_1.jpg
-KAMF, 06-15-23, -K, AMF, -K_2.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/AMF/-K_2.jpg
-KAMF, 06-15-23, -K, AMF, -K_3.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/AMF/-K_3.jpg
-KAMF, 06-15-23, -K, AMF, -K_4.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/AMF/-K_4.jpg
-KAMF, 06-15-23, -K, AMF, -K_5.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/AMF/-K_5.jpg
-KAMF, 06-15-23, -K, AMF, -K_6.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/AMF/-K_6.jpg
-KAMF, 06-15-23, -K, AMF, -K_7.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/AMF/-K_7.jpg
-KAMF, 06-15-23, -K, AMF, -K_8.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/AMF/-K_8.jpg
-KPM, 06-15-23, -K, PM, -K_2.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/PM/-K_2.jpg
-KPM, 06-15-23, -K, PM, -K_3.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/PM/-K_3.jpg
-KPM, 06-15-23, -K, PM, -K_4.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/PM/-K_4.jpg
-KPM, 06-15-23, -K, PM, -K_5.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/PM/-K_5.jpg
-KPM, 06-15-23, -K, PM, -K_6.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/PM/-K_6.jpg
-KPM, 06-15-23, -K, PM, -K_7.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/PM/-K_7.jpg
-KPM, 06-15-23, -K, PM, -K_8.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/PM/-K_8.jpg
-KPMF, 06-15-23, -K, PMF, -K_1.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/PMF/-K_1.jpg
-KPMF, 06-15-23, -K, PMF, -K_2.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/PMF/-K_2.jpg
-KPMF, 06-15-23, -K, PMF, -K_3.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/PMF/-K_3.jpg
-KPMF, 06-15-23, -K, PMF, -K_4.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/PMF/-K_4.jpg
-KPMF, 06-15-23, -K, PMF, -K_5.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/PMF/-K_5.jpg
-KPMF, 06-15-23, -K, PMF, -K_6.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/PMF/-K_6.jpg
-KPMF, 06-15-23, -K, PMF, -K_8.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-K/PMF/-K_8.jpg
-NAM, 06-15-23, -N, AM, -N_1.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-N/AM/-N_1.jpg
-NAM, 06-15-23, -N, AM, -N_10.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-N/AM/-N_10.jpg
-NAM, 06-15-23, -N, AM, -N_11.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-N/AM/-N_11.jpg
-NAM, 06-15-23, -N, AM, -N_12.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-N/AM/-N_12.jpg
-NAM, 06-15-23, -N, AM, -N_13.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-N/AM/-N_13.jpg
-NAM, 06-15-23, -N, AM, -N_14.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-N/AM/-N_14.jpg
-NAM, 06-15-23, -N, AM, -N_15.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-N/AM/-N_15.jpg
-NAM, 06-15-23, -N, AM, -N_16.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-N/AM/-N_16.jpg
-NAM, 06-15-23, -N, AM, -N_17.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-N/AM/-N_17.jpg
-NAM, 06-15-23, -N, AM, -N_18.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-N/AM/-N_18.jpg
-NAM, 06-15-23, -N, AM, -N_19.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-N/AM/-N_19.jpg
-NAM, 06-15-23, -N, AM, -N_2.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-N/AM/-N_2.jpg
-NAM, 06-15-23, -N, AM, -N_20.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-N/AM/-N_20.jpg
-NAM, 06-15-23, -N, AM, -N_21.jpg, https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-15-23/-N/AM/-N_21.jpg
