Group,Date,Class,Type,Number,Link
-KAM,06-26-23,-K,AM,-K_55.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-26-23/-K/AM/-K_55.jpg
-KAM,06-22-23,-K,AM,-K_16.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-22-23/-K/AM/-K_16.jpg
-KAM,06-16-23,-K,AM,-K_5.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-16-23/-K/AM/-K_5.jpg
-KAM,06-25-23,-K,AM,-K_9.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-25-23/-K/AM/-K_9.jpg
-KAM,06-25-23,-K,AM,-K_4.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-25-23/-K/AM/-K_4.jpg
-KAMF,06-26-23,-K,AMF,-K_56.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-26-23/-K/AMF/-K_56.jpg
-KAMF,06-18-23,-K,AMF,-K_4.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-18-23/-K/AMF/-K_4.jpg
-KAMF,06-16-23,-K,AMF,-K_3.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-16-23/-K/AMF/-K_3.jpg
-KAMF,06-26-23,-K,AMF,-K_23.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-26-23/-K/AMF/-K_23.jpg
-KAMF,06-25-23,-K,AMF,-K_7.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-25-23/-K/AMF/-K_7.jpg
-KPM,06-22-23,-K,PM,-K_3.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-22-23/-K/PM/-K_3.jpg
-KPM,06-17-23,-K,PM,-K_3.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-17-23/-K/PM/-K_3.jpg
-KPM,06-26-23,-K,PM,-K_53.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-26-23/-K/PM/-K_53.jpg
-KPM,06-23-23,-K,PM,-K_10.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-23-23/-K/PM/-K_10.jpg
-KPM,06-22-23,-K,PM,-K_4.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-22-23/-K/PM/-K_4.jpg
-KPMF,06-20-23,-K,PMF,-K_19.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-20-23/-K/PMF/-K_19.jpg
-KPMF,06-18-23,-K,PMF,-K_3.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-18-23/-K/PMF/-K_3.jpg
-KPMF,06-16-23,-K,PMF,-K_3.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-16-23/-K/PMF/-K_3.jpg
-KPMF,06-26-23,-K,PMF,-K_10.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-26-23/-K/PMF/-K_10.jpg
-KPMF,06-25-23,-K,PMF,-K_3.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-25-23/-K/PMF/-K_3.jpg
-NAM,06-21-23,-N,AM,-N_1.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-21-23/-N/AM/-N_1.jpg
-NAM,06-19-23,-N,AM,-N_15.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-19-23/-N/AM/-N_15.jpg
-NAM,06-25-23,-N,AM,-N_46.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-25-23/-N/AM/-N_46.jpg
-NAM,06-21-23,-N,AM,-N_19.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-21-23/-N/AM/-N_19.jpg
-NAM,06-23-23,-N,AM,-N_48.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-23-23/-N/AM/-N_48.jpg
-NAMF,06-21-23,-N,AMF,-N_1.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-21-23/-N/AMF/-N_1.jpg
-NAMF,06-19-23,-N,AMF,-N_15.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-19-23/-N/AMF/-N_15.jpg
-NAMF,06-25-23,-N,AMF,-N_46.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-25-23/-N/AMF/-N_46.jpg
-NAMF,06-21-23,-N,AMF,-N_19.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-21-23/-N/AMF/-N_19.jpg
-NAMF,06-23-23,-N,AMF,-N_48.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-23-23/-N/AMF/-N_48.jpg
-NPM,06-21-23,-N,PM,-N_1.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-21-23/-N/PM/-N_1.jpg
-NPM,06-19-23,-N,PM,-N_15.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-19-23/-N/PM/-N_15.jpg
-NPM,06-25-23,-N,PM,-N_46.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-25-23/-N/PM/-N_46.jpg
-NPM,06-21-23,-N,PM,-N_19.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-21-23/-N/PM/-N_19.jpg
-NPM,06-23-23,-N,PM,-N_48.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-23-23/-N/PM/-N_48.jpg
-NPMF,06-21-23,-N,PMF,-N_1.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-21-23/-N/PMF/-N_1.jpg
-NPMF,06-19-23,-N,PMF,-N_15.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-19-23/-N/PMF/-N_15.jpg
-NPMF,06-25-23,-N,PMF,-N_46.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-25-23/-N/PMF/-N_46.jpg
-NPMF,06-21-23,-N,PMF,-N_19.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-21-23/-N/PMF/-N_19.jpg
-NPMF,06-23-23,-N,PMF,-N_48.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-23-23/-N/PMF/-N_48.jpg
FNAM,06-18-23,FN,AM,C_16.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-18-23/FN/AM/C_16.jpg
FNAM,06-23-23,FN,AM,C_16.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-23-23/FN/AM/C_16.jpg
FNAM,06-21-23,FN,AM,C_3.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-21-23/FN/AM/C_3.jpg
FNAM,06-20-23,FN,AM,C_11.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-20-23/FN/AM/C_11.jpg
FNAM,06-21-23,FN,AM,C_16.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-21-23/FN/AM/C_16.jpg
FNAMF,06-18-23,FN,AMF,C_16.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-18-23/FN/AMF/C_16.jpg
FNAMF,06-23-23,FN,AMF,C_16.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-23-23/FN/AMF/C_16.jpg
FNAMF,06-21-23,FN,AMF,C_3.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-21-23/FN/AMF/C_3.jpg
FNAMF,06-20-23,FN,AMF,C_11.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-20-23/FN/AMF/C_11.jpg
FNAMF,06-21-23,FN,AMF,C_16.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-21-23/FN/AMF/C_16.jpg
FNPM,06-18-23,FN,PM,C_16.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-18-23/FN/PM/C_16.jpg
FNPM,06-23-23,FN,PM,C_16.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-23-23/FN/PM/C_16.jpg
FNPM,06-21-23,FN,PM,C_3.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-21-23/FN/PM/C_3.jpg
FNPM,06-20-23,FN,PM,C_11.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-20-23/FN/PM/C_11.jpg
FNPM,06-21-23,FN,PM,C_16.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-21-23/FN/PM/C_16.jpg
FNPMF,06-18-23,FN,PMF,C_16.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-18-23/FN/PMF/C_16.jpg
FNPMF,06-23-23,FN,PMF,C_16.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-23-23/FN/PMF/C_16.jpg
FNPMF,06-21-23,FN,PMF,C_3.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-21-23/FN/PMF/C_3.jpg
FNPMF,06-20-23,FN,PMF,C_11.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-20-23/FN/PMF/C_11.jpg
FNPMF,06-21-23,FN,PMF,C_16.jpg,https://raw.githubusercontent.com/queaaa/Deficient-Lettuce-Plants/main/06-21-23/FN/PMF/C_16.jpg
